"If [A]","Time [ns]","Distance [meter]","Brad []"
500,28000000,0,0.0364942325915783
500,28000000,0.001213365,0.0368250159254706
500,28000000,0.00242673,0.0398749014475667
500,28000000,0.003640095,0.0426941092354984
500,28000000,0.00485346,0.0455571654606206
500,28000000,0.006066825,0.0492120124823998
500,28000000,0.00728019,0.0525635320146415
500,28000000,0.008493555,0.056164691702824
500,28000000,0.00970692,0.0598275060256872
500,28000000,0.010920285,0.0642286382067979
500,28000000,0.01213365,0.0690708908996797
500,28000000,0.013347015,0.07377452868155
500,28000000,0.01456038,0.0785237405927729
500,28000000,0.015773745,0.0807090100353332
500,28000000,0.01698711,0.0858426891109087
500,28000000,0.018200475,0.0907454757401918
500,28000000,0.01941384,0.0934610034761851
500,28000000,0.020627205,0.0967050531985298
500,28000000,0.02184057,0.098770158133296
500,28000000,0.023053935,0.101616026858247
500,28000000,0.0242673,0.103049773879641
500,28000000,0.025480665,0.105033944157274
500,28000000,0.02669403,0.106166411459271
500,28000000,0.027907395,0.108167573644725
500,28000000,0.02912076,0.110590128611827
500,28000000,0.030334125,0.112911973257622
500,28000000,0.03154749,0.115760697568619
500,28000000,0.032760855,0.119842137087806
500,28000000,0.03397422,0.124635787320852
500,28000000,0.035187585,0.12891169034649
500,28000000,0.03640095,0.135188199411902
500,28000000,0.037614315,0.141345208553889
500,28000000,0.03882768,0.148908420187702
500,28000000,0.040041045,0.158087870095141
500,28000000,0.04125441,0.166407660345254
500,28000000,0.042467775,0.175325387056026
500,28000000,0.04368114,0.185492263152509
500,28000000,0.044894505,0.196594343972643
500,28000000,0.04610787,0.206939120297734
500,28000000,0.047321235,0.212770240603257
500,28000000,0.0485346,0.223526818063863
500,28000000,0.049747965,0.229051196900966
500,28000000,0.05096133,0.244439523950878
500,28000000,0.052174695,0.250863667632024
500,28000000,0.05338806,0.26186887741788
500,28000000,0.054601425,0.273830656035202
500,28000000,0.05581479,0.286581181740367
500,28000000,0.057028155,0.294381499693498
500,28000000,0.05824152,0.304763250178069
500,28000000,0.059454885,0.312686665093332
500,28000000,0.06066825,0.326068892795067
500,28000000,0.061881615,0.344475753180356
500,28000000,0.06309498,0.355386570111527
500,28000000,0.064308345,0.37036743324493
500,28000000,0.06552171,0.389713604092278
500,28000000,0.066735075,0.398887889233064
500,28000000,0.06794844,0.415868276736422
500,28000000,0.069161805,0.435814567885464
500,28000000,0.07037517,0.451950905673928
500,28000000,0.071588535,0.478389111255045
500,28000000,0.0728019,0.490646306523905
500,28000000,0.074015265,0.516210572445627
500,28000000,0.07522863,0.531514259171087
500,28000000,0.076441995,0.554566956022952
500,28000000,0.07765536,0.586782954514711
500,28000000,0.078868725,0.612679079203522
500,28000000,0.08008209,0.644261315774428
500,28000000,0.081295455,0.670551229628274
500,28000000,0.08250882,0.692711984696984
500,28000000,0.083722185,0.711723991865541
500,28000000,0.08493555,0.738556056740044
500,28000000,0.086148915,0.765798704255062
500,28000000,0.08736228,0.777626344555658
500,28000000,0.088575645,0.794442805157774
500,28000000,0.08978901,0.804467456368954
500,28000000,0.091002375,0.825864285011868
500,28000000,0.09221574,0.845250486544598
500,28000000,0.093429105,0.862510269692789
500,28000000,0.09464247,0.860971724908094
500,28000000,0.095855835,0.89141642369141
500,28000000,0.0970692,0.90084184295388
500,28000000,0.098282565,0.921588350880397
500,28000000,0.09949593,0.931442399978816
500,28000000,0.100709295,0.950478602401719
500,28000000,0.10192266,0.969926123874534
500,28000000,0.103136025,0.987676474094467
500,28000000,0.10434939,1.00863734897938
500,28000000,0.105562755,1.032083650099
500,28000000,0.10677612,1.0554282754985
500,28000000,0.107989485,1.07894215695685
500,28000000,0.10920285,1.1019721690604
500,28000000,0.110416215,1.11735214029412
500,28000000,0.11162958,1.13511893805488
500,28000000,0.112842945,1.14998577218421
500,28000000,0.11405631,1.15977184237377
500,28000000,0.115269675,1.16568097863231
500,28000000,0.11648304,1.17112820451676
500,28000000,0.117696405,1.17546236079975
500,28000000,0.11890977,1.17817862839528
500,28000000,0.120123135,1.17955558217237
500,28000000,0.1213365,1.18069705425668
500,28000000,0.122549865,1.18170767076379
500,28000000,0.12376323,1.18287596112533
500,28000000,0.124976595,1.18307964513418
500,28000000,0.12618996,1.18369079626963
500,28000000,0.127403325,1.1839924255792
500,28000000,0.12861669,1.18434496589796
500,28000000,0.129830055,1.18480654354322
500,28000000,0.13104342,1.18534132684333
500,28000000,0.132256785,1.18554434350726
500,28000000,0.13347015,1.18599920863201
500,28000000,0.134683515,1.18645403878117
500,28000000,0.13589688,1.18677422961908
500,28000000,0.137110245,1.18702572683676
500,28000000,0.13832361,1.18688926078138
500,28000000,0.139536975,1.18631126033481
500,28000000,0.14075034,1.184951526548
500,28000000,0.141963705,1.18248874200258
500,28000000,0.14317707,1.17851976180562
500,28000000,0.144390435,1.17219051497566
500,28000000,0.1456038,1.16338264840696
500,28000000,0.146817165,1.15171674296187
500,28000000,0.14803053,1.13665722021924
500,28000000,0.149243895,1.11832534403283
500,28000000,0.15045726,1.10065810420197
500,28000000,0.151670625,1.07207637704534
500,28000000,0.15288399,1.04399741875811
500,28000000,0.154097355,1.0241528190987
500,28000000,0.15531072,0.996033502788231
500,28000000,0.156524085,0.978804561556402
500,28000000,0.15773745,0.953854143408839
500,28000000,0.158950815,0.950310821396437
500,28000000,0.16016418,0.94918386833842
500,28000000,0.161377545,0.953705420649719
500,28000000,0.16259091,0.952842261706162
500,28000000,0.163804275,0.955841815863898
500,28000000,0.16501764,0.964653468434919
500,28000000,0.166231005,0.973087912366638
500,28000000,0.16744437,0.99456645147058
500,28000000,0.168657735,1.02148452665571
500,28000000,0.1698711,1.05256536494277
500,28000000,0.171084465,1.06925250970583
500,28000000,0.17229783,1.0911250337478
500,28000000,0.173511195,1.121816281035
500,28000000,0.17472456,1.13694860457395
500,28000000,0.175937925,1.15719094642157
500,28000000,0.17715129,1.17266519921821
500,28000000,0.178364655,1.18493058360366
500,28000000,0.17957802,1.1946474976539
