"If [A]","Time [ns]","Distance [meter]","Brad_2 []"
500,37999999.9999999,0,0.0134119823696909
500,37999999.9999999,0.001213365,0.0169697640469568
500,37999999.9999999,0.00242673,0.0219038810590506
500,37999999.9999999,0.003640095,0.026800536631735
500,37999999.9999999,0.00485346,0.0328724282261268
500,37999999.9999999,0.006066825,0.0349774839105685
500,37999999.9999999,0.00728019,0.0401151128891314
500,37999999.9999999,0.008493555,0.0454248289252801
500,37999999.9999999,0.00970692,0.0505486983606043
500,37999999.9999999,0.010920285,0.0522473366588054
500,37999999.9999999,0.01213365,0.0568529851473896
500,37999999.9999999,0.013347015,0.0615513729990325
500,37999999.9999999,0.01456038,0.0659912596352596
500,37999999.9999999,0.015773745,0.0688700152287861
500,37999999.9999999,0.01698711,0.0723389154326584
500,37999999.9999999,0.018200475,0.0772108128259636
500,37999999.9999999,0.01941384,0.0798717966177857
500,37999999.9999999,0.020627205,0.0824218458072808
500,37999999.9999999,0.02184057,0.0846700037244231
500,37999999.9999999,0.023053935,0.0867025510036948
500,37999999.9999999,0.0242673,0.0886186786964185
500,37999999.9999999,0.025480665,0.0904273385849582
500,37999999.9999999,0.02669403,0.0926848491242143
500,37999999.9999999,0.027907395,0.0951612230589559
500,37999999.9999999,0.02912076,0.0980383935165832
500,37999999.9999999,0.030334125,0.101711825660696
500,37999999.9999999,0.03154749,0.105555967329719
500,37999999.9999999,0.032760855,0.110074170108465
500,37999999.9999999,0.03397422,0.115160838375059
500,37999999.9999999,0.035187585,0.120576482746461
500,37999999.9999999,0.03640095,0.126372824875003
500,37999999.9999999,0.037614315,0.134042789154824
500,37999999.9999999,0.03882768,0.142473219737919
500,37999999.9999999,0.040041045,0.151439476656619
500,37999999.9999999,0.04125441,0.160671294225028
500,37999999.9999999,0.042467775,0.168695455463803
500,37999999.9999999,0.04368114,0.179263746726063
500,37999999.9999999,0.044894505,0.189797492747331
500,37999999.9999999,0.04610787,0.200033762026788
500,37999999.9999999,0.047321235,0.203060261084085
500,37999999.9999999,0.0485346,0.211343508068198
500,37999999.9999999,0.049747965,0.228511723149306
500,37999999.9999999,0.05096133,0.238129154809935
500,37999999.9999999,0.052174695,0.2381414147628
500,37999999.9999999,0.05338806,0.251829230516803
